equipment_type_desc,circuit_label_type_desc,sum_power,category
? Kitchen Plugs,Other,7.126,Other
Clothes Dryer,Clothes Dryer,302.43,Appliances
Clothes Washer,Clothes Washer,20.995,Appliances
Entry,Other,96.362,Other
Heat,Electric Furnace,451.656,Heating
Hydro Tub,Other,3.009,Other
Den,Other,291.96,Other
Dryer,Clothes Dryer,77.155,Appliances
Jacuzzi Rec,Other,2.9290000000000003,Other
Towel Warmers,Other,0,Other
Bed,Other,42.357,Other
Clothes Washer,Clothes Washer,17.744,Appliances
Garage,Other,4265.327,Other
Kit. Micro,Other,146.377,Other
Kitchen,Other,310.466,Other
Lights + Recep,Other,90.185,Other
Bedrooms / Main Bath,Other,82.599,Other
Dishwasher,Dishwasher,37.631,Appliances
Gar 2,Other,71.809,Other
Kitchen,Other,44.162000000000006,Other
Range,Stove/Oven/Range,100.659,Appliances
Dining,Other,6.229,Other
Door Opener Sensor,Other,129.655,Other
Dryer,Clothes Dryer,602.588,Appliances
Range,Stove/Oven/Range,126.394,Appliances
Gas Furnace,Gas Furnace (Component),693.341,Heating
Bath,Other,3.338,Other
Disposal,Garbage Disposal,0.031,Appliances
Stove,Stove/Oven/Range,21.744,Appliances
Unknown,Other,212.07500000000002,Other
Utility Plug,Other,11.102,Other
Forced Air Unit,Gas Furnace (Component),324.751,Heating
Garbage Disposal,Garbage Disposal,64.243,Appliances
Kitchen,Other,154.3,Other
Tub,Other,13.572000000000001,Other
Unknown,Other,390.973,Other
Central Vac,Other,0,Other
Ice Maker,Other,181.076,Other
Kitchen,Other,2.34,Other
Recp Appl,Other,59.75,Other
Refrigerator,Refrigerator/Freezer,299.634,Appliances
Sewer,Other,4.522,Other
Washer Lites,Other,42.846,Other
Lights & Plugs,Other,40.266,Other
Back Door OL + Switches,Other,30.262,Other
Bathroom,Other,8.752,Other
M. Bathroom Floor Heater,Other Zonal Heat,1668.6,Heating
Microwave,Microwave,14.955,Appliances
,Ductless Heatpump,1998.838,Heating
Office Back Bedroom,Other,290.076,Other
Unknown,Other,12.743,Other
Garage,Other,440.037,Other
Living Room/Com,Other,1044.539,Other
Unknown,Other,356.31600000000003,Other
Bath,Other,5.635,Other
Dishwasher,Dishwasher,27.396,Appliances
Heater,Other,0.074,Other
Hood,Other,2.67,Other
Hot Tub,Hot Tub,1438.582,Other
Kit Refer,Other,239.8,Other
,Other,5.955,Other
Clothes Washer,Clothes Washer,53.342,Appliances
Garage Heat,Other,0,Other
Kitchen,Other,353.071,Other
