equipment_type_desc,category,sum_power
,Heating,1998.838
,Other,21.418
 Back Door OL + Switches,Other,36.062
 Bath,Other,452.841
 Bathroom,Other,11.34
 Bathroom Heater,Heating,0.905
 Bathroom Vent Fan,Other,14.027000000000001
 Bed,Other,68.188
 Bedroom Outlets,Other,12.413
 Bedrooms / Main Bath,Other,101.03800000000001
 Central Vac,Other,0
 Clothes Dryer,Appliances,386.977
 Clothes Washer,Appliances,119.71
 Den,Other,340.854
 Din Lt/Fam,Other,567.087
 Dining,Other,7.338
 Dishwasher,Appliances,300.283
 Disposal,Appliances,10.852
 Door Opener Sensor,Other,162.57
 Dryer,Appliances,1145.136
 Electric Furnace,Heating,2322.325
 Entry,Other,99.896
 Family Room GFCI/Lights + Receps,Other,48.19
 Family Room Refer/Garage GFCI,Other,31.874000000000002
 Forced Air Unit,Heating,409.825
 Gar 0,Other,104.85900000000001
 Gar 2,Other,84.178
 Garage,Other,6332.579
 Garage Heat,Other,0
 Garbage Disposal,Appliances,197.006
 Garbage Disposal/Jiggle Machine,Other,2.275
 Gas Furnace,Heating,847.092
 GDO,Other,26.041
 Heat,Heating,623.543
 Heater,Heating,1.927
 Heater,Other,0.103
 Hood,Other,2.681
 Hot Tub,Other,5493.781
 Hot Tub Outlet,Other,0.001
 Hydro Tub,Other,3.5909999999999997
 Ice Maker,Other,208.271
 Jacuzzi Rec,Other,3.79
 Kit Ct,Other,420.963
 Kit Ct/M Bath,Other,61.447
" Kit Outlet, L Of Window",Other,0.177
 Kit Refer,Other,320.00600000000003
 Kit. Micro,Other,208.42600000000002
 Kitchen,Other,1334.0800000000002
 Kitchen Lights,Other,84.267
 Kitchen South Wall O/Ls,Other,1.6760000000000002
 Laundry Room,Other,335.25
 Lighting Section,Other,76.295
 Lights & Plugs,Other,55.06
 Lights + Recep,Other,104.058
 Lights + Recepts/Dining Recepts,Other,0.40700000000000003
 Lights + Recepts/Lights + Recepts,Other,128.127
 Lights + Recepts/Study/Bath GFCI,Other,494.34799999999996
 Lights + Recps/Kitchen/Kitchen,Other,241.959
 Living Room North Wall O/L,Other,20.704
 Living Room/Com,Other,1312.734
 M. Bathroom Floor Heater,Heating,1995.0279999999998
 Master Bath Circuit,Other,21.54
 Master Bed Bath,Other,502.33299999999997
 Master Bedroom,Other,128.164
 Mastr Bath Plug,Other,21.054000000000002
 Microwave,Appliances,121.996
 Mster Bath Lts,Other,70
 Nook/Hall,Other,139.12300000000002
 O/L On Right Of Window,Other,0
 O/L Outside Of Bath,Other,4.849
 Office Back Bedroom,Other,356.08500000000004
 Oven,Appliances,305.773
 Plug-in Garage Heat,Other,0
 Pump,Other,76.024
 Pump Rm Plugs,Other,125.156
 Range,Appliances,371.257
 Recp Appl,Other,74.07900000000001
 Refrigerator,Appliances,368.999
 Sewer,Other,5.986000000000001
 Sewer Lift Station,Other,14.889
 Shop,Other,235.762
 Stove,Appliances,22.63
 Stove Top,Appliances,0.601
 Sunroom Outlets,Other,522.932
 Towel Warmers,Other,0
 Tub,Other,16.915
 Unknown,Other,5302.5250000000005
 Utility Plug,Other,18.136
 Washer Lites,Other,55.869
 Wine Cooler,Other,55.348
? Kitchen Plugs ,Other,62.34
#2 Bedroom And Hallway Lights,Other,63.913000000000004
100 A Subpanel,Other,8726.37
2 Bedroom And 2 Bathroom,Other,268.044
2 Beds,Other,838.951
2 Upper Bedrooms,Other,184.68900000000002
200V Shop Plug,Other,6.2250000000000005
220 Volt / NEMA 6-20 T Plug,Other,0
240V Chevy,Other,5109.819
"2nd Floor Guest Room W/ Router, 1st Floor Bathroom, Living Room Outlet",Other,1277.957
2nd Level Lights + Outlets ,Other,238.64600000000002
3 Receps. Dining Room,Other,7.890000000000001
30 Amp RV Outlet,Other,9295.791
50 Amp RV Outlet,Other,3495.91
AC,AC,141.074
AC Wall Unit,Heating,2.3049999999999997
Addition Master  Bathroom Wall Outlets,Other,0.082
"Addition Master - Bathroom Fan, Lights, Wall Heater",Other,319.074
Addition Subpanel,Other,10926.721
Air Compressor,Other,6.673
Air Compressors For Attic Furnace,Heating,6657.273
Air Handler,Heating,8960.466
Air Handler,Other,2098.149
Air Purifier Fan,Other,78.94500000000001
Air/lights/outlets Upstairs,Other,1134.965
Alex's Room/Hall,Other,1867.348
Appliance,Other,3732.3790000000004
Appliance Circuit,Other,5239.41
Appliances,Other,10241.268
Appliances - Kitchen Outlets?,Other,1759.566
Atrium Lights + Out ,Other,14.175
Attic,Other,37.958999999999996
Attic Furnace,Heating,1394.688
Attic Outlet + Lts / Studio Lights,Other,115.282
Back Bedroom,Other,785.105
Back Bedroom Lights And Outlets,Other,205.547
Back Deck Outlets,Other,27.566
Back Lights,Other,117.946
Back Plugs,Other,7.223
"Back Porch, Outdoor Refrigerators",Other,2937.545
Back Room,Other,11.344
Back Room And Living Room Outlets And Lights,Other,1631.743
Backyard Lights,Other,1.32
Backyard Plug And Garage Doors,Other,1057.661
Barn / Compactor,Other,30.606
Baseboard Heat 1,Heating,132.194
Baseboard Heat 2,Heating,0.16100000000000003
Baseboard Heat 3,Heating,471.861
